공고ID,공고제목,회사명,직무카테고리,회사규모,tech_all,게시년월,cluster
320560,"Solution Developer - VE시스템 분석/운영 (WindChill,ThingWorx솔루션)",현대오토에버,기타,대기업,Java,2025-11,6
320559,[아웃링크] Security Engineer SaaS 기반 보안솔루션 구축 및 운영,현대오토에버,DevOps,대기업,"AWS, Azure",2025-10,8
320558,Security Manager 개인정보보호 담당,현대오토에버,DevOps,대기업,,2025-10,8
320557,서버 엔지니어 금융 서버/인프라 구축/운영,현대오토에버,DevOps,대기업,"AWS, Azure, Linux",2025-11,2
320555,IDC Architect IDC 구축 운영 (울산),현대오토에버,DevOps,대기업,,2025-11,2
320554,IDC Architect - IDC 구축운영 (광주),현대오토에버,DevOps,대기업,,2025-10,2
320553,Service Engineer MES 운영개발 (서울),현대오토에버,PM_기획,대기업,"C#, Java, MariaDB, PostgreSQL",2025-11,6
320552,[아웃링크] Security Engineer 인프라 영역 보안 담당,현대오토에버,DevOps,대기업,,2025-10,8
320550,Business Manager - 글로벌 인프라 거버넌스 관리,현대오토에버,DevOps,대기업,"Linux, Python",2025-10,2
320549,Platform Engineer 글로벌 인프라 진단/개선 WEB/WAS,현대오토에버,DevOps,대기업,"Linux, Nginx, Python",2025-10,2
320540,Platform Developer - SDF 요소기술 및 솔루션 개발/기술지원/전개,현대오토에버,백엔드,대기업,"Git, GitHub, Java, Spring",2025-11,6
320537,Security Engineer - 네트워크 보안 솔루션 운영 관리,현대오토에버,보안,대기업,,2025-10,8
320536,[EnIT] Business Analyst - 웹 시스템 운영/구축 - 생성형AI기반 (모비스),현대오토에버,백엔드,대기업,"Azure, Kubernetes, LLM",2025-10,0
320535,Backend Developer,현대오토에버,백엔드,대기업,"CI/CD, Docker, Git, Go, Java, Jenkins, Kubernetes, MongoDB, PostgreSQL, Redis, Spring, Spring Boot, 마이크로서비스",2025-11,0
320534,[아웃링크] Process Engineer - 인포테인먼트 SW 자동화 검증 시스템 개발 및 운영,현대오토에버,모바일,대기업,"CI/CD, Confluence, Jira",2025-11,6
320530,[SDx] 웹 프론트엔드 개발자,현대오토에버,백엔드,대기업,"Confluence, Git, GitLab, Java, JavaScript, Jira, React, TypeScript",2025-11,1
320528,Mobility Security Engineer - 모빌리티보안기술팀 - 리더(팀장),현대오토에버,보안,대기업,,2025-10,8
320527,Platform SW Developer,현대오토에버,DevOps,대기업,,2025-11,6
320520,[IVI] Backend Developer 글로벌 콘텐츠 서비스 제공을 위한 개발 운영 리더,현대오토에버,백엔드,대기업,"AWS, Go, Java, LLM, MSA, MongoDB, MySQL, NLP, PostgreSQL, Redis, 마이크로서비스",2025-11,0
320519,[EnIT] Backend Developer - 경영지원 웹 시스템 개발운영 (철강)(판교),현대오토에버,백엔드,대기업,"CI/CD, Java, Spring",2025-10,0
320517,서버 엔지니어 글로벌 클라우드 모니터링 환경 구축운영 (Cloud Monitoring Engineer),현대오토에버,데이터,대기업,"Linux, Python",2025-11,2
320516,Network Engineer 글로벌 클라우드 네트워크 구축운영 Cloud Network Engineer,현대오토에버,DevOps,대기업,,2025-11,2
320515,Server Engineer 글로벌 프라이빗 클라우드 플랫폼 구축운영 Private Cloud Platform Engineer,현대오토에버,DevOps,대기업,"Ansible, Linux, Python",2025-10,2
320511,Server Engineer GIS 서버 서비스 운영,현대오토에버,AI_ML,대기업,"AWS, Docker, Java, Kubernetes, Linux, Python",2025-11,2
320510,GIS Data Engineer 국내해외 경로탐색 서비스 모듈화를 통한 공용 라이브러리 개발,현대오토에버,데이터,대기업,,2025-10,0
320509,Backend Developer - 경영지원시스템 개발/운영 (건설),현대오토에버,백엔드,대기업,Java,2025-11,0
320506,Backend Developer SI 프로젝트 fluent English,현대오토에버,백엔드,대기업,"CI/CD, Docker, Git, Go, Java, Jenkins, MongoDB, PostgreSQL, Redis, Spring, Spring Boot, 마이크로서비스",2025-10,6
320501,[EnIT] Service Engineer - 정산시스템 개발운영 (물류),현대오토에버,백엔드,대기업,"React, Spring, Vue",2025-11,7
320500,Network Engineer 음성 통신 서비스 기획운영관리,현대오토에버,DevOps,대기업,,2025-11,6
320496,Backend Developer MSA 서비스 운영(멀티미디어/위치기반 서비스),현대오토에버,백엔드,대기업,"AWS, Go, Java, K8s, Kafka, MSA, Redis, Spring",2025-11,0
320494,GIS Data Engineer 내비게이션 검색 데이터(POI) 서비스 운영 및 컨텐츠 기획,현대오토에버,데이터,대기업,Python,2025-11,7
320490,Solution Developer - 사내 ERP 개발운영,현대오토에버,백엔드,대기업,,2025-11,2
320489,[EnIT] Service Engineer - MES 플랫폼 구축 및 운영 (철강) (당진 고대),현대오토에버,모바일,대기업,"Java, Oracle",2025-11,6
320487,펌웨어 개발자,라닉스,기타,스타트업/중소,Linux,2025-11,6
320486,App Developer 앱 개발운영 Android iOS 완성차,현대오토에버,백엔드,대기업,"Agile, CI/CD, Java, Jira, React, Spring, Swift",2025-11,5
320485,[SDx] Data Engineer - 생산/제조 영역의 데이터 파이프라인 개발 및 운영,현대오토에버,데이터,대기업,"Airflow, CI/CD, Java, Python, Scala",2025-10,7
320483,Network Engineer 글로벌 네트워크 개발 운영 엔지니어 해외법인,현대오토에버,DevOps,대기업,"AWS, Azure, GCP, Java, Python",2025-10,2
320477,AI Agent 개발자,멋쟁이사자처럼,백엔드,스타트업/중소,"GPT, LLM, LangChain, RAG, React, TypeScript",2025-11,4
320466,Native Application 개발 (신입),빔웍스,AI_ML,스타트업/중소,"Confluence, Git, Java, Jira, Linux, Python",2025-11,4
320462,Native Application 개발,빔웍스,AI_ML,스타트업/중소,"Confluence, Git, Java, Jira, Linux, Python",2025-11,4
320461,iOS개발,플랜티넷,모바일,스타트업/중소,Swift,2026-01,5
320451,프론트엔드 개발자(3~5년),랭디,프론트엔드,스타트업/중소,"Git, Jira, React, TypeScript",2025-11,1
320450,Backend Engineer(3년 이상),더스퀘어이엔엠,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Git, Java, Kotlin, MySQL, PostgreSQL, Spring, Spring Boot",2025-11,0
320443,[soonshot] 백엔드 개발자 (Kotlin/Spring Boot),에이디지컴퍼니,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Git, GitHub, GitHub Actions, Jenkins, Kotlin, MSA, MySQL, PostgreSQL, Spring, Spring Boot",2025-11,0
320440,SE(Fullstack Engineer),블루밍그레이스,백엔드,스타트업/중소,"NestJS, PostgreSQL, React, Redis, Rust, Swift, TypeScript",2025-11,1
320439,네트워크 엔지니어,제논,DevOps,스타트업/중소,"AWS, Azure, Git, GitLab, Linux",2025-11,2
320438,[인공지능솔루션] 보안 담당자,제논,AI_ML,스타트업/중소,Python,2025-11,8
320436,Backend 개발자 (LLM/AI 플랫폼 운영),원체크,백엔드,스타트업/중소,"AWS, CI/CD, GCP, LLM, LangChain, MLOps, NLP, RAG",2025-11,0
320429,Frontend Software Engineer,시나몬,백엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-11,1
320426,Sr. Researcher,에이아이트릭스(AITRICS),AI_ML,스타트업/중소,"LLM, 머신러닝",2025-11,4
320411,서버 개발자,페이블랩,백엔드,스타트업/중소,"AWS, Azure, CI/CD, Docker, Express, GCP, Git, Java, Jira, Kafka, Kubernetes, MSA, MySQL, NestJS, PostgreSQL, RabbitMQ, Redis, Spring, Spring Boot",2025-11,0
320408,데이터 엔지니어,에이블리코퍼레이션,데이터,스타트업/중소,"Airflow, Java, K8s, Kafka, Python, RAG, Scala",2025-11,7
320407,웹 서비스 개발자,원스토어,백엔드,스타트업/중소,"Azure, CI/CD, Confluence, Git, Java, JavaScript, Jenkins, Jira, Kotlin, Linux, REST API, React",2026-02,1
320404,인공지능 데스크톱 앱 개발자,제논,백엔드,스타트업/중소,"C#, CI/CD, Git, LLM, Linux, React, TypeScript",2025-11,4
320400,[어반스테이] Data Analysist,핸디즈,데이터,스타트업/중소,"Go, Python",2025-11,7
320393,[패스트캠퍼스 B2B] 프론트엔드 개발자,데이원컴퍼니,백엔드,스타트업/중소,"Git, React, TypeScript",2025-11,1
320384,Frontend Engineer,팀스파르타,프론트엔드,스타트업/중소,"Git, GitHub, TypeScript",2025-11,3
320382,숙박예약 및 커뮤니티 플랫폼 프론트엔드(NextJS) (신입~1년차),잠바구니,백엔드,스타트업/중소,"Git, GitHub, Java, JavaScript, Jira, React, React Native",2025-11,1
320380,Software Engineer - Fullstack,팀스파르타,프론트엔드,스타트업/중소,"Git, GitHub, Go, MongoDB, PostgreSQL, TypeScript",2025-11,3
320374,Backend Engineer,팀스파르타,백엔드,스타트업/중소,"Go, MongoDB, NestJS, PostgreSQL, TypeScript",2026-03,3
320370,Data Engineer,팀스파르타,데이터,스타트업/중소,"AWS, Airflow, Python, TypeScript",2025-11,3
320366,Back-end Engineer (New Fintech Product),쿠팡,백엔드,대기업,"Java, MSA, Spring",2025-11,3
320365,[Tech] 데이터엔지니어링(데이터플랫폼),우아한형제들(배달의민족),백엔드,대기업,"AWS, Airflow, Confluence, Elasticsearch, Git, GitLab, Go, Java, Jenkins, Jira, K8s, Kafka, Kubernetes, MongoDB, Python, Redis, Scala, Spring, 머신러닝",2025-11,7
320364,[Tech] Server(배민외식업광장),우아한형제들(배달의민족),백엔드,대기업,"AWS, Confluence, Elasticsearch, Git, GitLab, Java, Jira, Kafka, Linux, MySQL, Redis, Spring, Spring Boot",2025-11,0
320361,SOC Physical Implementation Engineer 신입,퀀터라인,프론트엔드,대기업,Python,2025-11,6
320359,웹프론트엔드 개발자 (유니콘),핀다(FINDA),프론트엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-11,1
320357,SOC Physical Design Engineer 신입,퀀터라인,백엔드,대기업,Python,2025-11,6
320356,SOC Physical Design Engineer (3년 이상),퀀터라인,백엔드,대기업,Python,2025-11,6
320354,SOC Physical Implementation Engineer (3년 이상),퀀터라인,프론트엔드,대기업,Python,2025-11,6
320342,피지컬 AI 연구 엔지니어,씨메스로보틱스,AI_ML,스타트업/중소,"MLOps, PyTorch",2026-01,4
320341,AI 데이터 매니저(Detection),씨드로닉스,AI_ML,스타트업/중소,Python,2025-11,7
320340,피지컬 AI 시뮬·데이터 엔지니어,씨메스로보틱스,데이터,스타트업/중소,"Docker, PyTorch, Python",2026-01,4
320339,시뮬·합성데이터 엔지니어,씨메스로보틱스,백엔드,스타트업/중소,"Computer Vision, Python",2026-01,4
320338,3D Vision&Robotics 엔지니어,씨메스로보틱스,AI_ML,스타트업/중소,"Computer Vision, PyTorch",2026-01,6
320337,AI 비전 연구 엔지니어,씨메스로보틱스,AI_ML,스타트업/중소,"Computer Vision, PyTorch, TensorFlow, Transformer, 딥러닝",2025-12,4
320330,AIOps 리서치 엔지니어,씨메스로보틱스,데이터,스타트업/중소,"Airflow, MLOps",2025-11,4
320329,AI Robotics SW DevOps,씨메스로보틱스,AI_ML,스타트업/중소,"Ansible, CI/CD, Docker, Git, GitLab, K8s, Python, Terraform",2026-01,2
320322,OutSystems Technical Architect (AA),콘센트릭스서비스코리아,DevOps,스타트업/중소,"Azure, CI/CD, Jenkins",2025-11,2
320321,백엔드 엔지니어,부드러운돌멩이,백엔드,스타트업/중소,"AWS, Azure, CI/CD, Django, Docker, Git, Go, Java, Kafka, MySQL, PostgreSQL, Python, Redis, Spring, Vue",2025-10,0
320303,모바일 앱 개발자(React Native) (2~5년),낭만상회,백엔드,스타트업/중소,"CI/CD, Git, Go, React, React Native, TypeScript",2025-11,5
320296,정보보안 담당자,111퍼센트,보안,스타트업/중소,,2025-11,8
320277,프론트엔드 개발자,블루노멀(BlueNormal),프론트엔드,스타트업/중소,"Git, React, TypeScript",2025-11,1
320259,Cloud Engineer,엑심베이,데이터,스타트업/중소,"AWS, CI/CD, Git, GitLab, Go, Kubernetes, Terraform",2025-11,2
320257,AI 풀스택 엔지니어,마드라스체크(플로우),백엔드,스타트업/중소,"Embedding, GPT, Git, Java, JavaScript, Jira, LLM, LangChain, NestJS, PostgreSQL, RAG, Redis",2026-03,4
320254,B2B 백엔드 개발자,트립비토즈(tripbtoz),백엔드,스타트업/중소,"Elasticsearch, GPT, Java, Spring",2025-11,3
320246,HW Technical Project Manager,스카이랩스(SkyLabs),PM_기획,스타트업/중소,,2025-11,3
320245,방화벽 보안 엔지니어 (신입),위드네트웍스,DevOps,스타트업/중소,"AWS, GCP",2025-11,8
320243,SW Technical Project Manager,스카이랩스(SkyLabs),백엔드,스타트업/중소,,2025-11,3
320241,Dev.Ops 엔지니어(Sr.),룰루메딕,DevOps,스타트업/중소,"AWS, Azure, CI/CD, GCP, Git, GitHub, GitHub Actions, Go, Kubernetes, Terraform",2025-11,2
320238,[로폼(LawForm)] FE(프론트엔드) 개발자 주니어,아미쿠스렉스,백엔드,스타트업/중소,"Git, Jira, React, TypeScript",2025-11,1
320226,[병특포함] Embedded System SW Engineer,보스반도체,모바일,스타트업/중소,"Linux, RAG, Rust",2025-11,6
320225,프론트엔드 개발 (5년 이상),마카롱팩토리(마이클),프론트엔드,스타트업/중소,"React, TypeScript",2026-03,3
320214,System Engineer,에프피티소프트웨어코리아,AI_ML,스타트업/중소,"Linux, Oracle",2025-11,2
320204,Security Engineer,비댁스,DevOps,스타트업/중소,"AWS, Python",2025-10,8
320201,데이터 사이언티스트/엔지니어 (신입 ~ 5년차),디큐랩,데이터,스타트업/중소,"AWS, Azure, GCP, LLM, LangChain, NLP, PyTorch, Python, Scikit-learn, TensorFlow, 머신러닝",2026-01,7
320193,백엔드개발자(Node.js) / 3년 이상,알렌의서재,백엔드,스타트업/중소,"AWS, Django, Docker, Elasticsearch, Git, Go, GraphQL, Kubernetes, MSA, MySQL, NestJS, PostgreSQL, Redis, Spring, TypeScript",2025-11,0
320188,프론트엔드개발자,알렌의서재,백엔드,스타트업/중소,"AWS, CI/CD, Git, GraphQL, Java, JavaScript, REST API, React, TypeScript",2025-11,1
320187,백엔드개발자(Node.js) / 3년 이하,알렌의서재,백엔드,스타트업/중소,"AWS, Docker, Git, GraphQL, MySQL, NestJS, PostgreSQL",2025-11,1
320186,Security Engineer(Blue Team),데이터라이즈,백엔드,스타트업/중소,"AWS, Kubernetes, Python, Rust",2025-11,8
320184,안드로이드개발자,알렌의서재,모바일,스타트업/중소,"Git, Go, Kotlin",2025-11,5
320183,[프리랜서] 프론트엔드 ReactNative 모집(상주/2년 이상),슬로그업,백엔드,스타트업/중소,"GraphQL, Kotlin, React, React Native, Swift, TypeScript",2025-10,3
320180,프론트엔드 ReactNative 프로덕트 엔지니어 (2년 이상),슬로그업,백엔드,스타트업/중소,"GraphQL, Kotlin, React, React Native, Swift, TypeScript",2025-11,3
320179,보안 인프라 담당자 (과장급 이상),진이어스,백엔드,스타트업/중소,"AWS, CI/CD, Confluence, Docker, Git, GitHub, GitHub Actions, Go, Jenkins, Jira, Kubernetes, Linux, MySQL, Nginx, Oracle, PHP, PostgreSQL, Redis",2025-11,2
320174,프론트엔드 개발자,온누리스토어,백엔드,스타트업/중소,"CI/CD, Java, JavaScript, React, TypeScript",2025-11,1
320161,백엔드 개발자 (7년~12년),인터웍스미디어,백엔드,스타트업/중소,,2025-11,3
320142,Backend Engineer (3년 이상),셀렉트스타,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Git, Java, Jenkins, Kotlin, Kubernetes, LLM, Linux, Python, REST API, Spring, Spring Boot, Terraform",2025-11,0
320112,생성형 AI 플랫폼 및 에이전트 개발 팀장,브릭,백엔드,스타트업/중소,"AWS, Java, Keras, LLM, LangChain, MLOps, NLP, PyTorch, Python, RAG, React, Spring, Spring Boot, TensorFlow, Vue",2025-11,4
320094,프론트엔드 커머스 개발자(퍼블리셔)(5~8년),플랫폼엔,백엔드,스타트업/중소,"AWS, Git, Java, JavaScript, Vue",2025-10,3
320089,기술지원 (SW),아이씨티케이,보안,스타트업/중소,Linux,2025-11,6
320039,주니어 FE 개발자,피트릭스,백엔드,스타트업/중소,"Git, React",2026-01,1
320038,백엔드 개발자 (4~7년),타운즈(타운카),백엔드,스타트업/중소,"AWS, DynamoDB, Elasticsearch, Git, GitHub, Go, Kafka, MongoDB, MySQL, RabbitMQ, Redis, TypeScript",2025-11,0
320037,Backend Engineer,"브레이브모바일(숨고,Soomgo)",백엔드,스타트업/중소,"CI/CD, Confluence, Elasticsearch, FastAPI, Flask, Git, GitHub, Go, Java, Jira, K8s, Kafka, Kotlin, Kubernetes, MSA, MongoDB, MySQL, Python, REST API, RabbitMQ, Redis, gRPC",2025-11,0
320036,개발lead(팀장~실장급),에듀윌,백엔드,스타트업/중소,"AWS, Azure, C#, Docker, Git, Java, Jenkins, Jira, Kubernetes, Spring",2025-11,0
320022,AI/Deep Learning 연구개발자,판테라,데이터,스타트업/중소,"PyTorch, TensorFlow, 딥러닝",2025-11,4
320020,iOS Engineer(ReactNative)_Web3 월렛 서비스 개발,두나무(업비트/증권플러스),백엔드,스타트업/중소,"Git, GitHub, GitLab, React, React Native, TypeScript",2025-11,5
320012,React Native Engineer_Web3 월렛 서비스 개발,두나무(업비트/증권플러스),백엔드,스타트업/중소,"Git, GitHub, GitLab, React, React Native, TypeScript",2025-11,1
320003,Dev-Ops Engineer,어피닛(트루밸런스),DevOps,스타트업/중소,"AWS, Ansible, CI/CD, Docker, Git, GitHub, GitHub Actions, Go, Jenkins, Kubernetes, Linux, Python, Terraform",2025-11,2
319999,AI 데이터 QA 엔지니어 (Linux/Docker 환경),한국딥러닝,백엔드,스타트업/중소,"Docker, FastAPI, Linux, Python",2025-10,4
319993,인프라 엔지니어,몬드리안에이아이,DevOps,스타트업/중소,"Ansible, Docker, Kubernetes, Linux, Terraform",2025-11,2
319988,Senior Backend Software Engineer (Innovation),하이퍼커넥트,백엔드,스타트업/중소,"Kafka, Redis, Spring, Spring Boot",2025-11,3
319982,Forward Deployed Engineer,사이오닉에이아이,백엔드,스타트업/중소,"Docker, Go, Kubernetes, Python",2025-11,3
319981,[포카마켓] React 프론트엔드 개발자 (3-5년),인플루디오,백엔드,스타트업/중소,"CI/CD, Git, Java, JavaScript, Jira, React, TypeScript",2025-11,1
319954,AI SDK Engineer,아이에이치더블유,AI_ML,스타트업/중소,"CI/CD, Git, PyTorch, Python, TensorFlow, 딥러닝",2025-11,6
319950,SoC Firmware Engineer,아이에이치더블유,DevOps,스타트업/중소,"CI/CD, Git",2025-11,6
319946,반도체·스마트팩토리 물류 제어 S/W 프론트 개발자(React) 주니어,주밍코리아,백엔드,스타트업/중소,"Python, React, TypeScript",2025-12,1
319942,Staff Web Security Engineer (Blue Operations),쿠팡,백엔드,대기업,"AWS, Azure, GCP, Go, Java, JavaScript, Python",2025-11,8
319941,데이터 플랫폼 엔지니어 (크롤링 전문가),콘센트릭스서비스코리아,백엔드,스타트업/중소,"AWS, Airflow, Docker, FastAPI, Flask, GCP, Kubernetes, Python",2025-11,7
319936,백엔드 개발자 (4년 이상),스토어링크,백엔드,스타트업/중소,"AWS, Git, GitHub, GitHub Actions, Java, Jenkins, Jira, Kotlin, MySQL, REST API, Redis, Spring, Spring Boot",2025-11,0
319934,개발운영,씽크프리(Thinkfree),DevOps,스타트업/중소,"AWS, CI/CD, Docker, Jenkins",2025-12,3
319933,백엔드 개발,씽크프리(Thinkfree),백엔드,스타트업/중소,"Java, JavaScript, Linux, Python, React, Spring",2025-12,3
319932,웹오피스 개발,씽크프리(Thinkfree),백엔드,스타트업/중소,"CI/CD, Go, Java, JavaScript, Jenkins, MongoDB, React, Redis, Spring, TypeScript",2026-03,1
319928,[포토이즘] Android App 개발자,서북,백엔드,스타트업/중소,"AWS, Git, Java, Kotlin",2025-11,5
319909,Security Engineer(이벤트분석/사고대응),토스페이먼츠,DevOps,대기업,"AWS, Elasticsearch, K8s, Kubernetes, Python",2025-11,8
319896,[인아웃] 프론트엔드 개발자,마이노멀컴퍼니,프론트엔드,스타트업/중소,"Docker, React, React Native, TypeScript",2025-11,1
319877,AI/ML Engineer,모두싸인,백엔드,스타트업/중소,"AWS, Elasticsearch, Embedding, LLM, LangChain, NLP, PyTorch, Python, RAG, Transformer, Vector DB",2025-11,4
319869,기술지원 (신입),이지스헬스케어,데이터,스타트업/중소,"C#, MySQL",2025-10,7
319867,AI 영상 알고리즘 개발자,우리엔,AI_ML,스타트업/중소,"Python, 딥러닝",2025-10,4
319865,의료영상 3D 어플리케이션 개발자(4년 이상),우리엔,프론트엔드,스타트업/중소,"C#, Python",2025-10,6
319862,의료 영상 소프트웨어 개발자 (C++/C#),우리엔,프론트엔드,스타트업/중소,"C#, Python, SQLite",2025-10,6
319857,반도체·스마트팩토리·물류 제어 S/W 백엔드 주니어 개발자,주밍코리아,백엔드,스타트업/중소,"C#, Java",2025-12,6
319841,Security Compliance Engineer,팀스파르타,DevOps,스타트업/중소,AWS,2025-11,8
319836,클라우드 엔지니어(DevSecOps),라텔앤드파트너즈,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Java, Jenkins, Linux, Nginx, Python, Spring, Spring Boot, Terraform",2026-01,2
319821,웹개발자 (3~5년),이지스헬스케어,백엔드,스타트업/중소,C#,2025-10,1
319817,AI Engineer,달파,AI_ML,스타트업/중소,"AWS, Docker, Git, GitHub, Go, K8s, LLM, Linux, MLOps, PyTorch, Python",2025-11,4
319796,프론트엔드 개발 리드,시마크로,백엔드,스타트업/중소,"Git, GitHub, React",2025-11,1
319794,Lead Frontend Engineer,팀스파르타,프론트엔드,스타트업/중소,,2025-11,3
319785,플랫폼개발팀 시니어 프론트엔드,빅케어,백엔드,스타트업/중소,"CI/CD, Flutter, Git, Java, JavaScript, Jenkins, React, React Native, TypeScript",2026-03,3
319773,"Software Engineer, Web Front End",센드버드코리아,백엔드,스타트업/중소,"CI/CD, React, TypeScript",2025-11,1
319772,안드로이드 개발자,스마트올리브(올리브식권),백엔드,스타트업/중소,"Go, Java, Kotlin, Swift",2025-10,5
319771,[정보보안센터] 개인정보점검 팀장,엘지유플러스(LG유플러스),보안,대기업,,2025-10,8
319768,iOS 개발자,스마트올리브(올리브식권),백엔드,스타트업/중소,Swift,2025-10,5
319764,백엔드 개발자 (책임급),비누커머스,백엔드,스타트업/중소,"AWS, Azure, CI/CD, GCP, Git, GitHub, GitLab, Java, JavaScript, Jira, MySQL, TypeScript",2025-12,0
319761,백엔드 개발자,아스크스토리디에스,백엔드,스타트업/중소,"AWS, CI/CD, Express, GCP, Git, Java, JavaScript, Kafka, Linux, MariaDB, MySQL, Python, REST API, Redis, TypeScript",2025-11,0
319758,Software Developer Robot Intelligence,내비간티스코리아,AI_ML,스타트업/중소,"CI/CD, Docker, Git, GitHub, PyTorch, Python, TensorFlow, 딥러닝",2025-11,4
319757,AI SW 엔지니어 – Algorithmic AI(5년 이상)-전문연구원 지원가능,엣지크로스,데이터,스타트업/중소,"AWS, Go, LLM, MLOps, PyTorch, TensorFlow, 딥러닝, 머신러닝",2025-11,4
319755,Backend Engineer (정산),무신사페이먼츠,백엔드,스타트업/중소,"AWS, Confluence, GCP, Java, Jira, Kafka, Kotlin, MSA, Redis, Spring, Spring Boot",2025-11,0
319752,[개발팀] AI 커머스 상품·주문 서비스 개발자,카페24,백엔드,스타트업/중소,"Confluence, FastAPI, GPT, Git, GitHub, Go, Java, Jira, LLM, Linux, MSA, MariaDB, MongoDB, Python, React, Redis, Spring",2025-11,4
319749,[Thinkfree] 개발 직군 채용,씽크프리(Thinkfree),백엔드,스타트업/중소,"AWS, CI/CD, Docker, Go, Java, JavaScript, Jenkins, Linux, MongoDB, Python, React, Redis, Spring, TypeScript",2025-12,1
319744,[부산/2년 이상] 코어팀 - 프로덕트 엔지니어,트리노드,백엔드,스타트업/중소,"AWS, CI/CD, Docker, FastAPI, Flask, GCP, GraphQL, MySQL, PostgreSQL, Python, REST API, React, Redis, TypeScript",2025-11,1
319740,실험자동화 임베디드 시스템 엔지니어,보로노이,백엔드,스타트업/중소,Python,2025-11,6
319736,[Tech] SRE/DevOps Engineer (3년 이상),위대한상상(요기요),AI_ML,스타트업/중소,"AWS, Ansible, CI/CD, GCP, Git, GitHub, Go, K8s, Kubernetes, Python, Terraform",2025-11,2
319707,[LEWKIN] Global E-commerce 백엔드 개발자,뉴웨이브커머스,백엔드,스타트업/중소,"AWS, CI/CD, Git, GitHub, GraphQL, Java, Kotlin, PostgreSQL, Python, Spring, Spring Boot, 마이크로서비스",2025-11,0
319706,[LEWKIN] Global E-commerce 프론트엔드 개발자,뉴웨이브커머스,백엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-11,1
319704,SAP ERP 운영 담당자,딥다이브,보안,스타트업/중소,,2025-11,3
319700,[프라시아 전기] 서버 프로그래머,넥슨코리아(NEXON),백엔드,대기업,C#,2025-11,0
319689,[인턴] Software Engineer - Fullstack,팀스파르타,백엔드,스타트업/중소,"AWS, Airflow, Git, GitHub, Go, MongoDB, NestJS, PostgreSQL, Python, TypeScript",2025-11,1
319684,[인턴] Data Engineer,팀스파르타,데이터,스타트업/중소,,2025-11,3
319681,[인턴] Backend Engineer,팀스파르타,백엔드,스타트업/중소,"Go, MongoDB, NestJS, PostgreSQL, TypeScript",2025-11,3
319677,피플팀 리드 (People Lead) 채용,렌트리,DevOps,스타트업/중소,,2025-11,3
319675,프론트엔드 개발 (AI 데이터분석 서비스) 2년 이상,파트리지시스템즈,프론트엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-10,1
319670,IT LAB Team Leader (5년 이상),제이와이피엔터테인먼트(JYP),데이터,스타트업/중소,,2025-11,3
319659,Android 개발자,무니스(리나잇),백엔드,스타트업/중소,"Go, Kotlin",2025-10,3
319657,의료IT 클라우드 HIS 원무파트 개발,이지케어텍,백엔드,스타트업/중소,"C#, MySQL, Oracle",2025-10,0
319656,어플리케이션 모바일 개발자,이지케어텍,백엔드,스타트업/중소,"AWS, Flutter, Git, Java, Jenkins, Jira, Kotlin, React, React Native, Swift",2025-10,5
319654,의료장비 EMR 인터페이스 개발,이지케어텍,백엔드,스타트업/중소,"C#, Java",2025-10,0
319653,클라우드 서버/네트워크 (3년 이상),이지케어텍,DevOps,스타트업/중소,"AWS, Azure, GCP, Linux, Python",2025-10,2
319650,클라우드 DBA (2년 이상),이지케어텍,DevOps,스타트업/중소,"Go, MongoDB, MySQL",2025-11,7
319648,Security팀 주니어,알스퀘어,AI_ML,스타트업/중소,"AWS, Python",2025-10,8
319644,클라우드 인프라 (5년 이상),이지케어텍,AI_ML,스타트업/중소,"AWS, Ansible, Azure, CI/CD, Docker, Jenkins, Kubernetes, Linux, MLOps, Python, Terraform",2025-11,2
319640,[인턴] Frontend Engineer,팀스파르타,프론트엔드,스타트업/중소,"Git, GitHub, TypeScript",2025-11,3
319639,[메이크샵] 백엔드 개발자(Nest.js/서비스 구조전환),커넥트웨이브,백엔드,스타트업/중소,"GPT, Git, GitHub, PHP, TypeScript",2025-11,3
319636,Head of Engineering,큐빅,백엔드,스타트업/중소,"CI/CD, LLM",2025-10,3
319634,프론트 개발자(5년 이상),디윅스,프론트엔드,스타트업/중소,"CI/CD, Git, GitLab, Java, JavaScript, React, TypeScript, Vue",2025-11,1
319597,React + TypeScript 기반 시스템 개발,엑스코어시스템,백엔드,스타트업/중소,"Git, REST API, React, TypeScript",2025-11,1
319585,MUST-A 모바일 애플리케이션 개발자,머스트핀테크,모바일,스타트업/중소,"Docker, Flutter, Git, Jira",2025-11,5
319574,[Gopax] 정보보호팀 팀원(취약점 진단 및 모의해킹 담당자),스트리미(Streami),모바일,스타트업/중소,Go,2025-11,8
319568,[서울] 백엔드 개발자,아토모스,백엔드,스타트업/중소,"AWS, Git, GitHub, PHP",2025-10,0
319567,POS 안드로이드 개발자,페이앤스토어,백엔드,스타트업/중소,"Confluence, Git, Jira, Kotlin",2025-11,5
